time,concat_dim,flow_00
1988-10-16 00:00:00,18.109101670804165,3903.2104
1988-11-15 12:00:00,18.109101670804165,1223.9227
1988-12-16 00:00:00,18.109101670804165,806.7083
1989-01-16 00:00:00,18.109101670804165,626.4805
1989-02-14 12:00:00,18.109101670804165,383.86188
1989-03-16 00:00:00,18.109101670804165,790.2211
1989-04-15 12:00:00,18.109101670804165,844.88336
1989-05-16 00:00:00,18.109101670804165,2815.3271
1989-06-15 12:00:00,18.109101670804165,4078.072
1989-07-16 00:00:00,18.109101670804165,6589.77
1989-08-16 00:00:00,18.109101670804165,7958.347
1989-09-15 12:00:00,18.109101670804165,6053.133
1989-10-16 00:00:00,18.109101670804165,6477.8857
1989-11-15 12:00:00,18.109101670804165,1743.1118
1989-12-16 00:00:00,18.109101670804165,927.3867
1990-01-16 00:00:00,18.109101670804165,669.261
1990-02-14 12:00:00,18.109101670804165,673.57465
1990-03-16 00:00:00,18.109101670804165,907.2966
1990-04-15 12:00:00,18.109101670804165,1030.6074
1990-05-16 00:00:00,18.109101670804165,3964.8906
1990-06-15 12:00:00,18.109101670804165,8942.102
1990-07-16 00:00:00,18.109101670804165,11644.3545
1990-08-16 00:00:00,18.109101670804165,6360.018
1990-09-15 12:00:00,18.109101670804165,6802.5386
1990-10-16 00:00:00,18.109101670804165,4627.9604
1990-11-15 12:00:00,18.109101670804165,2176.3403
1990-12-16 00:00:00,18.109101670804165,1058.7157
1991-01-16 00:00:00,18.109101670804165,746.16504
1991-02-14 12:00:00,18.109101670804165,556.53815
1991-03-16 00:00:00,18.109101670804165,606.95435
1991-04-15 12:00:00,18.109101670804165,1271.9146
1991-05-16 00:00:00,18.109101670804165,2658.3337
1991-06-15 12:00:00,18.109101670804165,6668.9
1991-07-16 00:00:00,18.109101670804165,9574.953
1991-08-16 00:00:00,18.109101670804165,11580.602
1991-09-15 12:00:00,18.109101670804165,7436.6084
1991-10-16 00:00:00,18.109101670804165,3824.431
1991-11-15 12:00:00,18.109101670804165,3293.495
1991-12-16 00:00:00,18.109101670804165,1324.3132
1992-01-16 00:00:00,18.109101670804165,1125.128
1992-02-15 00:00:00,18.109101670804165,715.0479
1992-03-16 00:00:00,18.109101670804165,926.99615
1992-04-15 12:00:00,18.109101670804165,1321.8491
1992-05-16 00:00:00,18.109101670804165,1517.7179
1992-06-15 12:00:00,18.109101670804165,2446.013
1992-07-16 00:00:00,18.109101670804165,7242.918
1992-08-16 00:00:00,18.109101670804165,5218.8696
1992-09-15 12:00:00,18.109101670804165,4725.46
1992-10-16 00:00:00,18.109101670804165,4648.391
1992-11-15 12:00:00,18.109101670804165,1793.0496
1992-12-16 00:00:00,18.109101670804165,1406.3058
1993-01-16 00:00:00,18.109101670804165,655.96075
1993-02-14 12:00:00,18.109101670804165,652.6084
1993-03-16 00:00:00,18.109101670804165,620.8111
1993-04-15 12:00:00,18.109101670804165,1028.1106
1993-05-16 00:00:00,18.109101670804165,2484.3804
1993-06-15 12:00:00,18.109101670804165,2342.6145
1993-07-16 00:00:00,18.109101670804165,6362.876
1993-08-16 00:00:00,18.109101670804165,10750.023
1993-09-15 12:00:00,18.109101670804165,8014.0703
1993-10-16 00:00:00,18.109101670804165,4007.1477
1993-11-15 12:00:00,18.109101670804165,1634.8779
1993-12-16 00:00:00,18.109101670804165,787.16724
1994-01-16 00:00:00,18.109101670804165,521.3463
1994-02-14 12:00:00,18.109101670804165,344.278
1994-03-16 00:00:00,18.109101670804165,986.8976
1994-04-15 12:00:00,18.109101670804165,1542.204
1994-05-16 00:00:00,18.109101670804165,2672.5562
1994-06-15 12:00:00,18.109101670804165,8597.333
1994-07-16 00:00:00,18.109101670804165,10068.33
1994-08-16 00:00:00,18.109101670804165,11782.816
1994-09-15 12:00:00,18.109101670804165,7863.631
1994-10-16 00:00:00,18.109101670804165,3472.4854
1994-11-15 12:00:00,18.109101670804165,1307.949
1994-12-16 00:00:00,18.109101670804165,1578.2068
1995-01-16 00:00:00,18.109101670804165,834.9673
1995-02-14 12:00:00,18.109101670804165,571.7234
1995-03-16 00:00:00,18.109101670804165,392.1863
1995-04-15 12:00:00,18.109101670804165,761.29706
1995-05-16 00:00:00,18.109101670804165,2633.181
1995-06-15 12:00:00,18.109101670804165,4486.446
1995-07-16 00:00:00,18.109101670804165,9730.897
1995-08-16 00:00:00,18.109101670804165,15600.147
1995-09-15 12:00:00,18.109101670804165,8748.878
1995-10-16 00:00:00,18.109101670804165,3945.8418
